file,status,legacy_hits,current_hits,current::access_boundary,current::current_services,current::no_supabase_yet,current::qiaccess_start,current::qiserver_runtime,legacy::client_portal_language,legacy::old_business_priority,legacy::old_qially_suite_language,legacy::public_exposure_risk_language
00_audit/QiAccess_Start_Current_State_Audit.md,current_or_aligned,0,61,0,29,0,3,29,0,0,0,0
00_audit/QiServer_Service_Truth_Audit.md,current_or_aligned,0,57,11,22,0,2,22,0,0,0,0
00_blueprint/file-index.json,neutral_or_unknown,0,0,0,0,0,0,0,0,0,0,0
00_blueprint/index.md,current_or_aligned,0,5,0,0,0,5,0,0,0,0,0
00_blueprint/mkdocs.yml,current_or_aligned,0,4,0,0,0,4,0,0,0,0,0
00_blueprint/QiAccess_Start_Blueprint.md,current_or_aligned,0,5,0,2,0,3,0,0,0,0,0
00_blueprint/qi_os_home_blueprint.md,mixed_review,1,8,0,1,0,6,1,1,0,0,0
00_blueprint/README.md,mixed_review,3,5,0,0,0,5,0,3,0,0,0
00_blueprint/tech_stack_markmind.md,current_or_aligned,0,1,0,1,0,0,0,0,0,0,0
01_notes/Legacy_Surface_Disposition.md,current_or_aligned,0,1,0,0,0,0,1,0,0,0,0
00_blueprint/00_genesis/00_genesis.md,neutral_or_unknown,0,0,0,0,0,0,0,0,0,0,0
00_blueprint/00_genesis/_Index_of_00_genesis.md,neutral_or_unknown,0,0,0,0,0,0,0,0,0,0,0
00_blueprint/01_governance/01_governance.md,neutral_or_unknown,0,0,0,0,0,0,0,0,0,0,0
00_blueprint/01_governance/index.md,current_or_aligned,0,2,0,0,0,2,0,0,0,0,0
00_blueprint/01_governance/_Index_of_01_governance.md,neutral_or_unknown,0,0,0,0,0,0,0,0,0,0,0
00_blueprint/02_architecture/02_architecture.md,neutral_or_unknown,0,0,0,0,0,0,0,0,0,0,0
00_blueprint/02_architecture/index.md,current_or_aligned,0,10,0,2,0,5,3,0,0,0,0
00_blueprint/02_architecture/_Index_of_02_architecture.md,neutral_or_unknown,0,0,0,0,0,0,0,0,0,0,0
00_blueprint/04_data/04_data.md,neutral_or_unknown,0,0,0,0,0,0,0,0,0,0,0
00_blueprint/04_data/index.md,neutral_or_unknown,0,0,0,0,0,0,0,0,0,0,0
00_blueprint/04_data/_Index_of_04_data.md,neutral_or_unknown,0,0,0,0,0,0,0,0,0,0,0
00_blueprint/05_compute/05_compute.md,neutral_or_unknown,0,0,0,0,0,0,0,0,0,0,0
00_blueprint/05_compute/index.md,neutral_or_unknown,0,0,0,0,0,0,0,0,0,0,0
00_blueprint/05_compute/_Index_of_05_compute.md,neutral_or_unknown,0,0,0,0,0,0,0,0,0,0,0
00_blueprint/06_applications/06_applications.md,neutral_or_unknown,0,0,0,0,0,0,0,0,0,0,0
00_blueprint/06_applications/index.md,mixed_review,2,2,0,0,0,2,0,2,0,0,0
00_blueprint/06_applications/_Index_of_06_applications.md,neutral_or_unknown,0,0,0,0,0,0,0,0,0,0,0
00_blueprint/07_operations/07_operations.md,neutral_or_unknown,0,0,0,0,0,0,0,0,0,0,0
00_blueprint/07_operations/index.md,current_or_aligned,0,1,0,0,0,1,0,0,0,0,0
00_blueprint/07_operations/_Index_of_07_operations.md,neutral_or_unknown,0,0,0,0,0,0,0,0,0,0,0
00_blueprint/08_appendices/08_appendices.md,neutral_or_unknown,0,0,0,0,0,0,0,0,0,0,0
00_blueprint/08_appendices/index.md,neutral_or_unknown,0,0,0,0,0,0,0,0,0,0,0
00_blueprint/08_appendices/_Index_of_08_appendices.md,neutral_or_unknown,0,0,0,0,0,0,0,0,0,0,0
00_blueprint/adr/ADR-0000_template.md,neutral_or_unknown,0,0,0,0,0,0,0,0,0,0,0
00_blueprint/adr/ADR-0001_blueprint_scope.md,neutral_or_unknown,0,0,0,0,0,0,0,0,0,0,0
00_blueprint/adr/ADR-0002_single_domain_rule.md,neutral_or_unknown,0,0,0,0,0,0,0,0,0,0,0
00_blueprint/adr/ADR-0003_band_model.md,neutral_or_unknown,0,0,0,0,0,0,0,0,0,0,0
00_blueprint/adr/ADR-0004_single_account_modular_mode.md,likely_stale,18,0,0,0,0,0,0,18,0,0,0
00_blueprint/adr/ADR-0005_fleet_orchestration.md,neutral_or_unknown,0,0,0,0,0,0,0,0,0,0,0
00_blueprint/adr/ADR-0006_narrative_and_knowledge_consolidation.md,neutral_or_unknown,0,0,0,0,0,0,0,0,0,0,0
00_blueprint/adr/ADR-0007_unified_front_matter_and_progressive_doc_topology.md,neutral_or_unknown,0,0,0,0,0,0,0,0,0,0,0
00_blueprint/adr/ADR-0008_qilabs_root.md,neutral_or_unknown,0,0,0,0,0,0,0,0,0,0,0
00_blueprint/adr/ADR-0009_backup_server_control_plane_and_public_edge_pattern.md,neutral_or_unknown,0,0,0,0,0,0,0,0,0,0,0
