file,status,legacy_hits,current_hits,current::access_boundary,current::current_services,current::markdown_vault,current::no_supabase_yet,current::qiaccess_start,current::qiserver_runtime,legacy::client_portal_language,legacy::old_business_priority,legacy::old_qially_suite_language,legacy::old_stack_assumptions,legacy::public_exposure_risk_language
10_blueprint/10_governance/01_principles.md,mixed_review,1,3,0,0,0,0,3,0,1,0,0,0,0
10_blueprint/10_governance/02_agent_rules.md,mixed_review,1,1,0,0,0,0,1,0,1,0,0,0,0
10_blueprint/10_governance/03_standards.md,mixed_review,2,3,1,2,0,0,0,0,0,0,0,2,0
10_blueprint/10_governance/04_registry.md,likely_stale,4,0,0,0,0,0,0,0,0,0,2,2,0
10_blueprint/10_governance/05_policies.md,mixed_review,5,3,0,0,0,0,3,0,4,0,1,0,0
10_blueprint/10_governance/06_decisions.md,neutral_or_unknown,0,0,0,0,0,0,0,0,0,0,0,0,0
10_blueprint/10_governance/_index.md,current_or_aligned,0,2,0,0,0,0,2,0,0,0,0,0,0
10_blueprint/20_architecture/01_identity.md,mixed_review,15,1,0,0,0,0,1,0,11,0,1,3,0
10_blueprint/20_architecture/02_component_map.md,mixed_review,11,2,0,1,0,0,1,0,2,0,6,3,0
10_blueprint/20_architecture/03_system_model.md,mixed_review,2,8,0,1,0,0,6,1,1,0,1,0,0
10_blueprint/20_architecture/04_device_model.md,likely_stale,1,0,0,0,0,0,0,0,1,0,0,0,0
10_blueprint/20_architecture/05_runtime_zones.md,mixed_review,8,8,0,8,0,0,0,0,1,0,0,7,0
10_blueprint/20_architecture/06_service_boundaries.md,mixed_review,2,6,2,3,0,1,0,0,1,0,0,1,0
10_blueprint/20_architecture/07_data_flow.md,mixed_review,3,1,0,1,0,0,0,0,0,0,0,3,0
10_blueprint/20_architecture/_index.md,current_or_aligned,0,10,0,2,0,0,5,3,0,0,0,0,0
10_blueprint/30_data/01_infrastructure_layout.md,current_or_aligned,0,1,0,1,0,0,0,0,0,0,0,0,0
10_blueprint/30_data/02_bands.md,mixed_review,6,3,0,0,0,1,1,1,5,0,1,0,0
