RuleName,RuleConditions,RuleActions
Auto - Tesla Supercharger,"{""ruleConditions"":[{""ruleType"":10,""value"":""-1""},{""ruleType"":1,""value"":""Tesla Supercharger""},{""ruleType"":6,""value"":""Tesla Supercharger""}],""isAndRule"":true}","{""ruleActions"":[{""actionType"":0,""value"":""AutoFuel""},{""actionType"":5,""value"":""Tesla Supercharger""},{""actionType"":9,""value"":""TESLA SUPERCHARGER US""},{""actionType"":11,""value"":[]}]}"
Food - McDonald's,"{""ruleConditions"":[{""ruleType"":10,""value"":""-1""},{""ruleType"":1,""value"":""McDonald""},{""ruleType"":6,""value"":""McDonald""}],""isAndRule"":false}","{""ruleActions"":[{""actionType"":0,""value"":""Meals""},{""actionType"":5,""value"":""McDonalds""},{""actionType"":11,""value"":[]},{""actionType"":8,""value"":true}]}"
Meals - Door-Dash,"{""ruleConditions"":[{""ruleType"":10,""value"":""-1""},{""ruleType"":6,""value"":""Doordash""}],""isAndRule"":false}","{""ruleActions"":[{""actionType"":0,""value"":""SchC Expenses:SchCMeals""},{""actionType"":5,""value"":""DoorDash""},{""actionType"":9,""value"":""DD *DOORDASH ""},{""actionType"":11,""value"":[]},{""actionType"":8,""value"":true}]}"
Google,"{""ruleConditions"":[{""ruleType"":10,""value"":""-1""},{""ruleType"":1,""value"":""Google""}],""isAndRule"":true}","{""ruleActions"":[{""actionType"":0,""value"":""SchCOtherExpenses:SchCOtherExpensesSoftware""},{""actionType"":5,""value"":""Google""},{""actionType"":9,""value"":""GOOGLE *Google One""},{""actionType"":11,""value"":[]},{""actionType"":8,""value"":true}]}"
Gamma,"{""ruleConditions"":[{""ruleType"":10,""value"":""-1""},{""ruleType"":1,""value"":""Gamma App""}],""isAndRule"":true}","{""ruleActions"":[{""actionType"":0,""value"":""SchCOtherExpenses:SchCOtherExpensesSoftware""},{""actionType"":5,""value"":""Gamma""},{""actionType"":1,""value"":""GAMMA.APP""},{""actionType"":11,""value"":[]},{""actionType"":8,""value"":true}]}"
lyft,"{""ruleConditions"":[{""ruleType"":10,""value"":""-1""},{""ruleType"":1,""value"":""Lyft""}],""isAndRule"":true}","{""ruleActions"":[{""actionType"":0,""value"":""SchC Expenses:SchCTravel""},{""actionType"":5,""value"":""Lyft""},{""actionType"":1,""value"":""LYFT   *TEMP AUTH HOLD""},{""actionType"":11,""value"":[]},{""actionType"":8,""value"":true}]}"
cashapp,"{""ruleConditions"":[{""ruleType"":10,""value"":""-1""},{""ruleType"":1,""value"":""Cash""}],""isAndRule"":true}","{""ruleActions"":[{""actionType"":0,""value"":""CashApp""},{""actionType"":7,""value"":""26""},{""actionType"":1,""value"":""CASH APP*WHATS YOURS I""},{""actionType"":11,""value"":[]},{""actionType"":8,""value"":true}]}"
dashspass,"{""ruleConditions"":[{""ruleType"":10,""value"":""-1""},{""ruleType"":1,""value"":""Dd Doordashdashpass""}],""isAndRule"":true}","{""ruleActions"":[{""actionType"":0,""value"":""PersExp:PersFood:FoodGroceries""},{""actionType"":5,""value"":""DoorDash""},{""actionType"":1,""value"":""DD *DOORDASHDASHPASS""},{""actionType"":11,""value"":[]},{""actionType"":8,""value"":true}]}"
papajohns,"{""ruleConditions"":[{""ruleType"":10,""value"":""-1""},{""ruleType"":1,""value"":""Papa John's""}],""isAndRule"":true}","{""ruleActions"":[{""actionType"":0,""value"":""SchC Expenses:SchCMeals""},{""actionType"":5,""value"":""DoorDash""},{""actionType"":1,""value"":""DD *DOORDASH PAPAJOHNS""},{""actionType"":11,""value"":[]},{""actionType"":8,""value"":true}]}"
chubby bunny,"{""ruleConditions"":[{""ruleType"":10,""value"":""-1""},{""ruleType"":1,""value"":""Zelleâ Chubby Bunny""}],""isAndRule"":true}","{""ruleActions"":[{""actionType"":0,""value"":""CHASE SECURE BANKING (9266) - 1""},{""actionType"":7,""value"":""26""},{""actionType"":1,""value"":""ZelleÂ® Payment to Chubby Bunny""},{""actionType"":11,""value"":[]},{""actionType"":8,""value"":true}]}"
