Drive Name,Age,Available GB,Cache,Disk,Drive Type,GB,Health Status,Letter,Model,Notes,Outcome,Physical,RPM,Read/Write Errors,Reallocated Sectors (1),Seek Errors,Serial Number,Size,Tests,Unusual Noises,Use Case,Used GB,Volumne,Yr,read Error Rate
NVME SSD 512GB,3,,,3,SSD,476.939781188965,Healthy,C:,,,,,,,,,A843_9700_0000_2521.,512110190592,,No,os,,"Qi-OS — C: (Qi-OS%20%E2%80%94%20C%2026df84a044028012b3f8f7486e9398d6.md), Recovery (Recovery%2026df84a044028075a3e4fc44a13c9c66.md), Recovery Small (Recovery%20Small%2026df84a0440280a29c82e87c9eab72a0.md), EFI System Partition (EFI%20System%20Partition%2026df84a0440280e69748e2ec53342f9f.md)",2020,
Qi-Vector (V:)/QiEos,6,924,32,0,HDD,931.513389587402,Critical,V/Q,WDC WD1003FBYX-18Y7B0,"sounded like a v8 trying to get out of a hole. ",Recycle,,"5,200",,140,253,WD-WCAW34793852,1000204886016,,Yes,light storage.,8,"Qi-Vector — V: (Qi-Vector%20%E2%80%94%20V%2026df84a0440280d6b6abebe62c86019b.md), QiEos — Q: (QiEos%20%E2%80%94%20Q%2026df84a04402807fbd4bedc70590845f.md)",2017,14
Qi-Kb — K:,6,944,,1,HDD,931.513389587402,Healthy,D/K,WDC WD10EZEX-08WN4A0,,,,,,,," WD-WCC6Y6YVSYF7",1000204886016,,No,General-purpose storage,56,"Qi-Dev — D: (Qi-Dev%20%E2%80%94%20D%2026df84a04402803e845fc61249ec6894.md), Qi-Kb -- K: (Qi-Kb%20--%20K%2026df84a04402800ababff7721c8c23e5.md)",2017,
Seagate ST2000DM008-2FR102,6,,,2,HDD,1863.01668548584,Healthy,G/S,,,,,"7,200",0,,0,ZFL29R36,2000398934016,,No,General-purpose storage,,"Qi-GDrive — G: (Qi-GDrive%20%E2%80%94%20G%2026df84a04402800dbe48df192a3b407d.md), Qi-Stream — S: (Qi-Stream%20%E2%80%94%20S%2026df84a0440280cca6e5cc88efad51de.md)",2017,0
Qi-Vector — V:,6,,,0,Volume,434.927642345429,Critical,V:,,,Recycle,Qi-Vector (V:)/QiEos (Qi-Vector%20(V%20)%20QiEos%2026df84a04402801387d4c2aabf17040e.md),,,,,WD-WCAW34793852,467000000000,,Yes,VectorStorage,,,2017,
Qi-OS — C:,3,,,3,Volume,442.428514361382,Healthy,C:,,,,NVME SSD 512GB (NVME%20SSD%20512GB%2026df84a044028084886dec695e709acd.md),,,,,A843_9700_0000_2521.,475054000000,,No,os,,,2020,
Qi-Dev — D:,6,,,1,Volume,295.229256153107,Healthy,D:,,,,Qi-Kb — K: (Qi-Kb%20%E2%80%94%20K%2026df84a04402807683dde29adce0ed39.md),,,,," WD-WCC6Y6YVSYF7",317000000000,,No,Development,,,2017,
Qi-GDrive — G:,6,,,2,Volume,550.244003534317,Healthy,G/S,,,,Seagate ST2000DM008-2FR102 (Seagate%20ST2000DM008-2FR102%2026df84a04402803ba7e8d1c57fdac94d.md),,,,,ZFL29R36,590820000000,,No,Streaming,,,2017,
Qi-Stream — S:,6,,,2,Volume,1184.80995297432,Healthy,G/S,,,,Seagate ST2000DM008-2FR102 (Seagate%20ST2000DM008-2FR102%2026df84a04402803ba7e8d1c57fdac94d.md),,,,,ZFL29R36,1272180000000,,No,Video Files,,,2017,
QiEos — Q:,6,,,0,Volume,432.319939136505,Critical,Q:,,,Recycle,Qi-Vector (V:)/QiEos (Qi-Vector%20(V%20)%20QiEos%2026df84a04402801387d4c2aabf17040e.md),,,,,WD-WCAW34793852,464200000000,,Yes,App-Dev,,,2017,
Recovery,3,,,3,Recovery,0.076275318861,Healthy,None,,,,NVME SSD 512GB (NVME%20SSD%20512GB%2026df84a044028084886dec695e709acd.md),,,,,A843_9700_0000_2521.,81900000,,No,recovery,,,2020,
Recovery Small,3,,,3,Recovery,0.046566128731,Healthy,None,,,,NVME SSD 512GB (NVME%20SSD%20512GB%2026df84a044028084886dec695e709acd.md),,,,,A843_9700_0000_2521.,50000000,,No,recovery,,,2020,
EFI System Partition,3,,,3,Recovery,0.000931322575,Healthy,None,,,,NVME SSD 512GB (NVME%20SSD%20512GB%2026df84a044028084886dec695e709acd.md),,,,,A843_9700_0000_2521.,1000000,,No,EFI,,,2020,
Qi-Kb -- K:,6,,,1,Volume,572.763383388519,Healthy,K:,,,,Qi-Kb — K: (Qi-Kb%20%E2%80%94%20K%2026df84a04402807683dde29adce0ed39.md),,,,," WD-WCC6Y6YVSYF7",615000000000,,No,Knowledgebase,,,2017,
