Name,Account,Auto-Renews,DKIM,Domain Lock,Forwards To,Linked-To,MX,Renews On,Status,Systems,Tags,URL,WHOIS Privacy
iisitax.com,,Yes,No,No,https://www.qhrpeople.com/easy-tax,,No,"January 16, 2026",Active,,iisiTax,https://account.squarespace.com/domains/managed/iisitax.com,Yes
Aiyoz.ent,,No,No,No,,,No,,Active,,,,No
oscarslawn.com,,No,No,No,,,No,,Active,,,,No
QHRPeople.com,,No,No,No,,,No,,Active,,,,No
http://aiyoz.infinityfreeapp.com/,,No,No,No,,,No,,Active,,,,No
INNOVAHIRE.BIZ,,No,No,No,,,No,,Active,,,,No
Gmail.com,,No,No,No,,,No,,Active,,,,No
Outlook.com,,No,No,No,,,No,,Active,,,,No
qially.me,,No,No,No,,ZohoMail,No,,Active,,,,No
qicollections.com,,No,No,No,,,No,,Active,,,,No
empowerqnow.com,info@qially.me (info@qially%20me%20ff11570a9dc54d49a829a56583c17e96.csv),Yes,No,Yes,,ZohoMail,No,"July 19, 2026",Active,Zoho Domains (Zoho%20Domains%2029ff84a04402808fac92dec588df28a4.csv),"books, empowerqnow, letters, manual",empowerqnow.com,Yes
qimemoryvault.com,info@qially.me (info@qially%20me%20ff11570a9dc54d49a829a56583c17e96.csv),Yes,No,Yes,,,No,"July 29, 2026",Active,Zoho Domains (Zoho%20Domains%2029ff84a04402808fac92dec588df28a4.csv),,,Yes
qsaysit.com,info@qially.me (info@qially%20me%20ff11570a9dc54d49a829a56583c17e96.csv),Yes,No,Yes,,,No,"July 29, 2026",Active,Zoho Domains (Zoho%20Domains%2029ff84a04402808fac92dec588df28a4.csv),,,Yes
builtbyrays.com,info@qially.me (info@qially%20me%20ff11570a9dc54d49a829a56583c17e96.csv),Yes,No,Yes,,"ZohoMail, cloudflare",No,"August 7, 2026",Active,Zoho Domains (Zoho%20Domains%2029ff84a04402808fac92dec588df28a4.csv),,,Yes
