Module Id,Name,Label,Api Name,Singular Label,Module Type,Web Link,Visibility,Parent Module Id,Modified By,Modified Time
zcrm_6789162000000002175,Leads,Leads,Leads,Lead,1,,1,,zcrm_6789162000000560001,2025-08-01 08:22:16
zcrm_6789162000000002177,Accounts,Companies,Accounts,Company,1,,1,,zcrm_6789162000000560001,2025-08-01 08:19:29
zcrm_6789162000000002179,Contacts,Contacts,Contacts,Contact,1,,1,,zcrm_6789162000000560001,2025-08-03 11:07:22
zcrm_6789162000000002181,Potentials,Engagements,Deals,Engagement,1,,1,,zcrm_6789162000000560001,2025-08-01 08:22:45
zcrm_6789162000000002183,Campaigns,Campaigns,Campaigns,Campaign,1,,1,,zcrm_6789162000000560001,2025-08-01 08:22:16
zcrm_6789162000000002191,Users,Users,users,User,1,,1,,,
zcrm_6789162000000002193,Tasks,Tasks,Tasks,Task,1,,1,,zcrm_6789162000000560001,2025-08-01 08:22:16
zcrm_6789162000000002195,Events,Meetings,Events,Meeting,1,,1,,zcrm_6789162000000560001,2025-08-01 08:22:16
zcrm_6789162000000002197,Notes,Notes,Notes,Note,1,,1,,zcrm_6789162000000560001,2025-05-14 18:28:54
zcrm_6789162000000002199,Competitors,Competitors,Competitors,Competitor,1,,1,,,
zcrm_6789162000000002201,Forecasts,Forecasts,Forecasts,Forecast,1,,1,,zcrm_6789162000000560001,2025-08-01 08:20:48
zcrm_6789162000000002209,Cases,Service Tickets,Cases,Service Ticket,1,,1,,zcrm_6789162000000560001,2025-08-01 08:22:16
zcrm_6789162000000002211,Solutions,Solutions,Solutions,Solution,1,,1,,zcrm_6789162000000560001,2025-08-01 08:20:48
zcrm_6789162000000002213,Products,Products,Products,Product,1,,1,,zcrm_6789162000000560001,2025-08-01 08:22:16
zcrm_6789162000000002215,Vendors,Vendors,Vendors,Vendor,1,,1,,zcrm_6789162000000560001,2025-08-01 08:21:29
zcrm_6789162000000002217,PriceBooks,Price Books,Price_Books,Price Book,1,,1,,zcrm_6789162000000560001,2025-08-01 08:22:16
zcrm_6789162000000002219,Quotes,Quotes,Quotes,Quote,1,,1,,zcrm_6789162000000560001,2025-08-01 08:19:29
zcrm_6789162000000002221,SalesOrders,Sales Orders,Sales_Orders,Sales Order,1,,1,,zcrm_6789162000000560001,2025-08-01 08:22:16
zcrm_6789162000000002223,PurchaseOrders,Purchase Orders,Purchase_Orders,Purchase Order,1,,1,,zcrm_6789162000000560001,2025-08-01 08:22:16
