PickList Id,Field Id,Layout Id,Value,Actual Value,Sort Order,Api Name,Default Value,Is System Value,Is Customized,Is Restricted,Is Default,Color Code,Category,Allowed Time
zcrm_6789162000000003157,zcrm_6789162000000002685,zcrm_6789162000000091027,New,New,1,,,true,false,,true,#f5c72f,,
zcrm_6789162000000003157,zcrm_6789162000000002685,zcrm_6789162000001418089,New,New,1,,,true,false,,true,#f5c72f,,
zcrm_6789162000000003159,zcrm_6789162000000002685,zcrm_6789162000000091027,Escalated,Escalated,2,,,true,false,,,#f27e22,,
zcrm_6789162000000003159,zcrm_6789162000000002685,zcrm_6789162000001418089,Escalated,Escalated,2,,,true,false,,,#f27e22,,
zcrm_6789162000000003161,zcrm_6789162000000002685,zcrm_6789162000000091027,On Hold,On Hold,3,,,true,false,,,#eb4d4d,,
zcrm_6789162000000003161,zcrm_6789162000000002685,zcrm_6789162000001418089,On Hold,On Hold,3,,,true,false,,,#eb4d4d,,
zcrm_6789162000000003163,zcrm_6789162000000002685,zcrm_6789162000000091027,Completed,Closed,4,,,true,true,,,#666666,,
zcrm_6789162000000003163,zcrm_6789162000000002685,zcrm_6789162000001418089,Completed,Closed,4,,,true,true,,,#666666,,
zcrm_6789162000000003165,zcrm_6789162000000002689,zcrm_6789162000000091027,-None-,-None-,1,,,true,false,,,,,
zcrm_6789162000000003167,zcrm_6789162000000002689,zcrm_6789162000000091027,High,High,2,,,true,false,,,,,
zcrm_6789162000000003169,zcrm_6789162000000002689,zcrm_6789162000000091027,Medium,Medium,3,,,true,false,,,,,
zcrm_6789162000000003171,zcrm_6789162000000002689,zcrm_6789162000000091027,Low,Low,4,,,true,false,,,,,
zcrm_6789162000000003173,zcrm_6789162000000002691,zcrm_6789162000000091027,-None-,-None-,1,,,true,false,,,,,
zcrm_6789162000000003175,zcrm_6789162000000002691,zcrm_6789162000000091027,Problem,Problem,2,,,true,false,,,,,
zcrm_6789162000000003177,zcrm_6789162000000002691,zcrm_6789162000000091027,Feature Request,Feature Request,3,,,true,false,,,,,
zcrm_6789162000000003179,zcrm_6789162000000002691,zcrm_6789162000000091027,Question,Question,4,,,true,false,,,,,
zcrm_6789162000000003181,zcrm_6789162000000002693,zcrm_6789162000000091027,-None-,-None-,1,,,true,false,,,,,
zcrm_6789162000000003181,zcrm_6789162000000002693,zcrm_6789162000001418089,-None-,-None-,1,,,true,false,,,,,
zcrm_6789162000000003183,zcrm_6789162000000002693,zcrm_6789162000000091027,Tax Filing Question,User did not attend any training,2,,,true,true,,,,,
zcrm_6789162000000003183,zcrm_6789162000000002693,zcrm_6789162000001418089,Tax Filing Question,User did not attend any training,2,,,true,true,,,,,
zcrm_6789162000000003185,zcrm_6789162000000002693,zcrm_6789162000000091027,Document Submission Issue,Complex functionality,3,,,true,true,,,,,
zcrm_6789162000000003185,zcrm_6789162000000002693,zcrm_6789162000001418089,Document Submission Issue,Complex functionality,3,,,true,true,,,,,
zcrm_6789162000000003187,zcrm_6789162000000002693,zcrm_6789162000000091027,Payment / Invoice Inquiry,Existing problem,4,,,true,true,,,,,
zcrm_6789162000000003187,zcrm_6789162000000002693,zcrm_6789162000001418089,Payment / Invoice Inquiry,Existing problem,4,,,true,true,,,,,
zcrm_6789162000000003189,zcrm_6789162000000002693,zcrm_6789162000000091027,New Service Request,Instructions not clear,5,,,true,true,,,,,
zcrm_6789162000000003189,zcrm_6789162000000002693,zcrm_6789162000001418089,New Service Request,Instructions not clear,5,,,true,true,,,,,
zcrm_6789162000000003191,zcrm_6789162000000002693,zcrm_6789162000000091027,Correction / Amendment Needed,New problem,6,,,true,true,,,,,
zcrm_6789162000000003191,zcrm_6789162000000002693,zcrm_6789162000001418089,Correction / Amendment Needed,New problem,6,,,true,true,,,,,
zcrm_6789162000000003193,zcrm_6789162000000002695,zcrm_6789162000000091027,-None-,-None-,1,,,true,false,,,,,
zcrm_6789162000000003193,zcrm_6789162000000002695,zcrm_6789162000001418089,-None-,-None-,1,,,true,false,,,,,
zcrm_6789162000000003195,zcrm_6789162000000002695,zcrm_6789162000000091027,Email,Email,2,,,true,false,,,,,
zcrm_6789162000000003195,zcrm_6789162000000002695,zcrm_6789162000001418089,Email,Email,2,,,true,false,,,,,
zcrm_6789162000000003197,zcrm_6789162000000002695,zcrm_6789162000000091027,Phone,Phone,3,,,true,false,,,,,
zcrm_6789162000000003197,zcrm_6789162000000002695,zcrm_6789162000001418089,Phone,Phone,3,,,true,false,,,,,
zcrm_6789162000000003199,zcrm_6789162000000002695,zcrm_6789162000000091027,Web,Web,4,,,true,false,,,,,
zcrm_6789162000000003199,zcrm_6789162000000002695,zcrm_6789162000001418089,Web,Web,4,,,true,false,,,,,
zcrm_6789162000000003201,zcrm_6789162000000002737,zcrm_6789162000000091011,Draft,Draft,1,,,true,false,,,,,
