Record Id,Product Owner.id,Product Name,Product Code,Vendor Name.id,Product Active,Manufacturer,Product Category,Sales Start Date,Sales End Date,Support Start Date,Support End Date,Created By.id,Modified By.id,Created Time,Modified Time,Unit Price,Commission Rate,Tax,Usage Unit,Qty Ordered,Quantity in Stock,Reorder Level,Handler.id,Quantity in Demand,Description,Taxable,Currency,Exchange Rate,Layout.id,Tag,Product Image,User Modified Time,System Related Activity Time,User Related Activity Time,System Modified Time,Locked,Last Activity Time,Record Status,QuickBooks Item ID,Notion_Sync_URL,Notion_Sync_Date,Notion_Sync_Status,Notion ID,SRP,Bundle Eligible,Duration,Scope,Exclusion,Deliverables,Required Documents,Internal Sales Sheet,Grouping,Income Account,Frequency,Connected To.id,Connected To.Module
zcrm_6789162000001630169,zcrm_6789162000000560001,Service Hours,01000,,true,,,,,,,zcrm_6789162000000560001,zcrm_6789162000000560001,2025-05-31 16:43:40,2025-07-11 19:15:47,39.0,,,,0.0,-3.0,0.0,,2.0,,false,USD,1.000000000,zcrm_6789162000000091009,,,2025-07-11 19:15:47,,,,false,2025-07-11 19:15:47,Available,,,,,,,,,,,,,,,,,,
zcrm_6789162000002176001,zcrm_6789162000000560001,Drafting of Tax Compliance Letter,,,true,,,,,,,zcrm_6789162000000560001,zcrm_6789162000000560001,2025-06-24 04:41:30,2025-07-11 08:26:45,49.0,,,,0.0,-1.0,0.0,,0.0,,false,USD,1.000000000,zcrm_6789162000000091009,,,2025-07-11 08:26:45,,,,false,2025-07-11 08:26:45,Available,,,,,,,,,,,,,,,,,,
zcrm_6789162000002176011,zcrm_6789162000000560001,Submission to Indiana BMV,,,true,,,,,,,zcrm_6789162000000560001,zcrm_6789162000000560001,2025-06-24 04:42:15,2025-07-11 08:26:45,300.0,,,,0.0,-1.0,0.0,,0.0,,false,USD,1.000000000,zcrm_6789162000000091009,,,2025-07-11 08:26:45,,,,false,2025-07-11 08:26:45,Available,,,,,,,,,,,,,,,,,,
zcrm_6789162000002176021,zcrm_6789162000000560001,Indiana tax withholding filing. $0,,,true,,,,,,,zcrm_6789162000000560001,zcrm_6789162000000560001,2025-06-24 04:46:42,2025-07-11 08:26:45,20.0,,,,0.0,-8.0,0.0,,0.0,,false,USD,1.000000000,zcrm_6789162000000091009,,,2025-07-11 08:26:45,,,,false,2025-07-11 08:26:45,Available,,,,,,,,,,,,,,,,,,
zcrm_6789162000002314174,zcrm_6789162000000560001,Preparation and Filing of Amended 2023 Individual Tax Return (Form 1040X),,,true,,,,,,,zcrm_6789162000000560001,zcrm_6789162000000560001,2025-06-27 13:14:12,2025-06-27 13:14:12,499.0,,,,0.0,0.0,0.0,,0.0,,true,USD,1.000000000,zcrm_6789162000000091009,,,,,,,false,,Available,,,,,,,,,,,,,,,,,,
zcrm_6789162000002321108,zcrm_6789162000000560001,Accounting - Audit Doc Retention,QA-AUD-50,,true,,QiAlly BizStart & Compliance,,,,,zcrm_6789162000000560001,zcrm_6789162000000560001,2025-06-29 07:42:40,2025-07-11 08:30:07,50.0,,,,0.0,0.0,0.0,,0.0,"""Ensure compliance and efficiency with our Audit Document Retention services—protect your financial records and streamline your accounting processes.""",true,USD,1.000000000,zcrm_6789162000002333036,,,2025-07-11 08:30:07,,,2025-06-29 11:15:28,false,2025-07-11 08:30:07,Available,,https://www.notion.so/Accounting-Audit-Doc-Retention-1e7f84a044028113839be4cc89799702,2025-06-29,Synced,1e7f84a0-4402-8113-839b-e4cc89799702,75.0,true,2–4 hours,"This service includes the retention and organization of audit documents for your accounting needs. We ensure that all necessary audit paperwork is kept safe and accessible, helping you comply with regulations and maintain clear records. Our service is designed to streamline your auditing process while providing peace of mind that your documents are in good hands.","This service does not include the following:
• In-depth financial consulting or advisory services
• Assistance with tax preparation or filing
• Representation during tax audits
• Advanced accounting software features not covered in basic auditing
• Personalized training on accounting systems
• Custom reporting beyond standard audit documentation","At the end of this service, the client will receive a comprehensive audit report detailing the findings, recommendations for improvements, and any necessary documentation to support compliance and financial accuracy. Additionally, the client will receive guidance on best practices for maintaining financial records and audit documentation going forward.","To start or complete this service, the following documents, access, or information are needed from the client:

- Previous audit reports
- Current financial statements
- Access to accounting software
- List of relevant tax documents
- Client contact information for follow-ups
- Any specific client guidelines or preferences","# Internal Service Guide: Accounting - Audit Document Retention

## 1. Service Overview
This service involves the retention and management of audit documents, ensuring compliance with accounting standards and facilitating easy access for future audits. It addresses the problem of disorganized document storage, which can lead to inefficiencies and compliance risks during audits.

## 2. Step-by-Step Delivery Process
1.",3b9efd75-c973-453e-a9fb-41572cd6037c,999f4c50-38d3-4774-b0f8-560c1666a5e8,RjI<,,
zcrm_6789162000002321117,zcrm_6789162000000560001,Accounting - Audit Prep,AUDIT-QI999,,true,,QiAlly BizStart & Compliance,,,,,zcrm_6789162000000560001,zcrm_6789162000000560001,2025-06-29 07:42:40,2025-07-11 08:30:12,999.0,,,,0.0,0.0,0.0,,0.0,"""Enhance your financial accuracy with our expert audit preparation services—ensuring compliance, thoroughness, and peace of mind for your business.""",true,USD,1.000000000,zcrm_6789162000002333036,,,2025-07-11 08:30:12,,,2025-06-29 11:15:27,false,2025-07-11 08:30:12,Available,,https://www.notion.so/Accounting-Audit-Prep-1e7f84a04402817b9ad5d364a1cd893e,2025-06-29,Synced,1e7f84a0-4402-817b-9ad5-d364a1cd893e,750.0,true,Approximately 2–3 hours of work time is needed to complete this service.,"This service includes comprehensive support for preparing your accounting audits. Our team will help ensure that all your financial records are accurate and up-to-date, making the audit process smoother and more efficient. We provide guidance on best practices and assist with any necessary documentation, so you can have peace of mind during your audit.","This service does not include:

- Tax preparation services
- Financial planning or investment advice
- Legal consultation or representation
- Advanced analytics or reporting features
- Integration with third-party financial software
- Ongoing bookkeeping services
- Personal finance management tools
- Support for international tax issues","At the end of this service, the client will receive a comprehensive audit report detailing the findings of the audit process. This report will include an analysis of financial statements, identification of any discrepancies or issues, recommendations for improvements, and a summary of compliance with applicable regulations. Additionally, the client will receive guidance on best practices for financial management moving forward.","To start or complete this service, the following documents, access, or information is needed from the client:

- Financial statements for the past three years
- Tax returns for the last three years
- Access to accounting software or systems
- List of all income sources and related documents
- Any existing audit reports or correspondence with tax authorities
- Identification of key personnel for interviews or discussions","# Internal Service Guide: Accounting - Audit Prep

## 1. Service Overview
This service involves preparing the financial records and documents needed for an audit. It ensures that all financial data is accurate, complete, and compliant with regulations. This is essential for organizations seeking to maintain transparency and accountability, and it helps identify any discrepancies before the formal audit process begins.

## 2. Step-by-Step Delivery Process
1.",3b9efd75-c973-453e-a9fb-41572cd6037c,999f4c50-38d3-4774-b0f8-560c1666a5e8,RjI<,,
zcrm_6789162000002321124,zcrm_6789162000000560001,Accounting - Bank Statement Review,ACCT-BKSTMT-001,,true,,QiAlly BizStart & Compliance,,,,,zcrm_6789162000000560001,zcrm_6789162000000560001,2025-06-29 07:42:40,2025-07-11 08:30:18,39.0,,,,0.0,0.0,0.0,,0.0,"""Optimize your financial management with our expert bank statement review services—ensuring accuracy, compliance, and insightful accounting.""",true,USD,1.000000000,zcrm_6789162000002333036,,,2025-07-11 08:30:18,,,2025-06-29 11:15:27,false,2025-07-11 08:30:18,Available,,https://www.notion.so/Accounting-Bank-Statement-Review-1fef84a044028037ba05fce5d1da6689,2025-06-29,Synced,1fef84a0-4402-8037-ba05-fce5d1da6689,45.0,false,Approximately 2–3 hours of work time is needed to complete this service.,"This service includes a thorough review of your bank statements to ensure accuracy and compliance. Our team will analyze your transactions, identify any discrepancies, and provide you with a clear summary of your financial activities. This way, you can have peace of mind knowing your accounts are in order and ready for any financial reporting or planning needs.","This service does not include:

- Tax preparation or filing services
- Financial planning or investment advice
- Audit services or representation during audits
- Assistance with complex accounting issues or specialized financial strategies
- Support for non-accounting software or systems
- Custom reporting beyond standard bank statement reviews
- Ongoing bookkeeping or accounting management services","At the end of this service, the client will receive a comprehensive review of their bank statements, including a detailed report that highlights discrepancies, identifies potential issues, and provides insights into their financial transactions. Additionally, the client will receive recommendations for improving financial management and ensuring compliance with accounting standards.","To start or complete the bank statement review service, the following documents, access, or information are needed from the client:

- Recent bank statements for the relevant period
- Access to online banking if applicable
- Detailed list of transactions for the review period
- Any previous bank statement reviews or relevant financial documents
- Clarification on any specific transactions that need to be addressed","# Internal Service Guide: Accounting - Bank Statement Review

## 1. Service Overview
This service involves reviewing bank statements to ensure that all transactions are properly recorded and reconciled. It is essential for identifying discrepancies, ensuring accuracy in financial records, and maintaining compliance with accounting standards.

## 2. Step-by-Step Delivery Process
1.",bd985ab5-a290-4219-80b2-02281847e3fe,999f4c50-38d3-4774-b0f8-560c1666a5e8,RjI<,,
zcrm_6789162000002321129,zcrm_6789162000000560001,Accounting - Home Office/Vehicle/Assets/Mileage Worksheet(s),A25-QTA-001,,false,,QiAlly Tax & Accounting,,,,,zcrm_6789162000000560001,zcrm_6789162000000560001,2025-06-29 07:42:40,2025-06-29 07:42:40,25.0,,,,0.0,0.0,0.0,,0.0,"Optimize your finances with our comprehensive accounting worksheets for home office, vehicle, assets, and mileage tracking—ensuring accuracy and efficiency.",true,USD,1.000000000,zcrm_6789162000002333036,"Tax Compliance,Tax Worksheet,Taxation",,,,,,false,,Available,,,,,,50.0,false,Approximately 1–2 hours of work time is needed to complete this service.,"This service provides a comprehensive worksheet to help you track your home office expenses, vehicle usage, assets, and mileage. It simplifies the process of organizing your financial information, making it easier to manage your accounting needs and prepare for tax season.","- This service does not include tax preparation or filing services.
- Advanced accounting features such as payroll management or advanced financial reporting are not part of this service.
- Users often misunderstand that this service provides real-time financial advice; it is primarily a documentation and worksheet service.
- Support for industry-specific accounting practices is not included.
- Integration with third-party accounting software is not available.","At the end of this service, the client will receive a comprehensive worksheet that details their home office expenses, vehicle usage, asset management, and mileage records. This documentation will be organized and formatted for easy reference, ensuring that the client can accurately track and report their accounting activities for tax purposes.","To start or complete this service, the following documents, access, or information are needed from the client:

- Recent financial statements
- Access to accounting software or systems
- Documentation of any outstanding invoices or accounts receivable
- Records of expenses related to home office, vehicle, and assets
- Mileage logs for business-related travel","# Internal Service Guide: Accounting - Home Office/Vehicle/Assets/Mileage Worksheet(s)

1. Service Overview
This service involves the creation and management of accounting worksheets related to home office expenses, vehicle costs, asset tracking, and mileage. It is designed to streamline the tracking of these expenses for accurate reporting and compliance, solving the problem of disorganized financial records.

2. Step-by-Step Delivery Process
1. Client Intake: Gather information from the client regarding their home office setup, vehicle usage, and asset inventory through a questionnaire or consultation.
2. Worksheet Setup: Create the necessary worksheets for home office expenses, vehicle costs, asset tracking, and mileage in the predetermined format.
3. Data Input: Enter initial data and expenses into the worksheets as provided by the client.
4. Review: Verify the accuracy of the entered data with the client, ensuring all necessary information is included.
5. Finalization: Make any adjustments based on client feedback and finalize the worksheets for use.
6. Delivery: Share the completed worksheets with the client via email or a shared drive.

3. Required Tools & Resources
- Microsoft Excel or Google Sheets for worksheet creation
- Internal templates for consistent formatting
- Accounting software (if applicable) for integration
- Documentation of tax regulations relevant to home office deductions

4. Pro Tips & Insights
- Always clarify client expectations during the intake process to avoid misunderstandings.
- Use consistent naming conventions for worksheets to ensure clarity and organization.
- Regularly update the worksheets to reflect any changes in expenses or tax regulations.
- Encourage clients to maintain receipts and documentation for all expenses for easy reference.
- Remind clients of potential deductions related to home office and vehicle use for tax benefits.

5. Quality Standards / Final Deliverables
✅ Completed and verified worksheets for home office, vehicle, assets, and mileage
✅ Clear instructions for clients on how to maintain and update the worksheets
✅ Summary of key financial insights based on the provided data

6. Time Estimate
? 3–4 hours average per setup
(1 hour for client intake and data gathering, 2–3 hours for worksheet creation and review)

7. Escalation Points
? If the client has unclear or incomplete data: escalate for additional clarification sessions.
? If there are discrepancies in the data provided: escalate to the accounting manager for resolution.
? If the project scope expands to include additional financial services: flag for review and possible service upgrade.",Accounting Documentation,,Per Unit,,
zcrm_6789162000002321136,zcrm_6789162000000560001,Accounting - Transaction Review,AT-QR-001,,false,,QiAlly Tax & Accounting,,,,,zcrm_6789162000000560001,zcrm_6789162000000560001,2025-06-29 07:42:40,2025-06-29 07:42:40,1.0,,,,0.0,0.0,0.0,,0.0,"Enhance your financial accuracy with our expert accounting transaction reviews—ensuring compliance, transparency, and optimized financial management.",true,USD,1.000000000,zcrm_6789162000002333036,"Financial Management,Financial Reporting,Tax Compliance",,,,,,false,,Available,,,,,,150.0,false,2–4 hours,"This service provides a thorough review of your financial transactions to ensure accuracy and compliance. We help you understand your financial data, identify any discrepancies, and give you peace of mind that your accounting is in order.","This service does not include:

- Advanced tax planning strategies
- In-depth financial analysis or forecasting
- Business consulting services
- Legal advice or representation
- Audit support or representation
- Assistance with complex tax situations or filings
- Customized reporting beyond standard transaction reviews
- Support for non-standard accounting software integrations","At the end of this service, the client will receive a comprehensive transaction review report that includes detailed insights on their accounting transactions, an analysis of financial data, recommendations for improvements, and a summary of compliance with relevant tax regulations.","- Access to the client's financial records
- Previous transaction reports
- Tax documents for the current year
- Any relevant contracts or agreements
- Client's accounting software login credentials","# Internal Service Guide: Accounting – Transaction Review

1. Service Overview
This service involves reviewing and validating financial transactions to ensure accuracy and compliance with accounting standards. It is ideal for teams that require meticulous oversight of financial data to prevent errors and maintain integrity in reporting.

2. Step-by-Step Delivery Process
1. Initial Review: Gather all transaction data and relevant documents for the review process.
2. Data Validation: Cross-check transaction details against source documents (invoices, receipts).
3. Error Identification: Look for discrepancies, such as incorrect amounts or missing documentation.
4. Correction Process: Communicate with relevant parties to rectify any identified errors.
5. Final Approval: Once corrections are made, seek final approval from the designated authority.
6. Documentation: Prepare a summary report of the review findings and corrections made.
7. Archive: Store all reviewed documents and reports in the designated accounting folder.

3. Required Tools & Resources
- Accounting software (e.g., QuickBooks, Xero)
- Internal transaction review checklist template
- Document storage system (e.g., Google Drive, SharePoint)
- Communication platform (e.g., Slack, email)

4. Pro Tips & Insights
- Always keep communication clear and concise when addressing discrepancies with team members.
- Use a standardized checklist to ensure no steps are missed during the review process.
- Keep regular backups of all transaction documents to prevent data loss.
- Schedule periodic reviews to maintain ongoing accuracy in transaction records.
- Familiarize yourself with common errors to expedite the review process.

5. Quality Standards / Final Deliverables
✅ All transactions reviewed and validated
✅ Error report compiled and corrections documented
✅ Summary report submitted to the appropriate stakeholders
✅ All supporting documents archived in the accounting system

6. Time Estimate
? 1–2 hours on average for a standard transaction review (depending on the volume of transactions).

7. Escalation Points
? If discrepancies cannot be resolved: escalate to the accounting manager for further investigation.
? If software issues arise: contact IT support for assistance.
? If additional training is needed: flag for a training session on transaction review best practices.",Accounting Reviews,,Per Unit,,
