Coin Name,Coin Denomination,Coin Face Value,Coin Variety,Coin Year,DENOMINATION,Error Tags,FACE,Mint,Notes,Potential Value,Qty,RARITY STATUS,Text,VARIETY DESCRIPTION,YEAR
Lincoln Penny Sm D,,,,,1C,Small Date,,Denver,,"$4,590.00",,Super Rare,"Based on recent listings for similar Lincoln Penny Small Date coins on eBay, the average selling price is approximately $3,200.00 to $4,500.00, suggesting an optimal price of around $3,850.00 for this coin.",Small Date,1982
Quarter 1972 Error Coin Rare,,,,,25C,"Filled_D, MultiError",,Denver,,$250.00,,Rare,"After researching similar 1972 error coins on eBay, the average selling price appears to range between $200.00 and $300.00. Considering this, the optimal price for the 1972 Quarter Error Coin could be set at approximately $250.00 to remain competitive in the market.",MULTI,1972
Lincoln Penny 1989 d,,,,,1C,"3.1g, Pure Copper",,Denver,"During this mid year, they did not make purely cover coins. They’re supposed to be mixed with zinc and other metals, but this one is pure copper.
","$11,000.00",,Super Rare,"Based on recent listings for similar Lincoln Pennies from 1989 on eBay, the average selling price ranges from $9,500.00 to $12,500.00. Therefore, an optimal price for the Lincoln Penny 1989 d, considering its super rare status and pure copper composition, would be approximately $11,000.00.",Pure Cover,1989
2023 Quarter Iho Mai Kha 25c,25c,$0.25,Edith Manakala Ole,2023,,,,,,,1,,,,
2020 Salt River Bay,25c,$0.25,Salt River Bay,2020,,,,,,,1,,,,
2020 Weir Farm,25c,$0.25,Weir Farm,2020,,,,,,,1,,,,
2006 Colorado 1876,25c,$0.25,Colorado 1876,2006,,,,,,,1,,,,
2018 Cumberland Island,25c,$0.25,Cumberland Island,2018,,,,,,,1,,,,
2001 New York,25c,$0.25,New York,2001,,,,,,,1,,,,
"25C  _ 1972  _ Denver  _ @March 15, 2025 4:48 AM  ",,,,,25C,MultiError,image.jpg,Denver,,$20.00,,Rare,"Based on recent listings for similar coins on eBay, the optimal price for the 25C 1972 Denver variety appears to be around $25.00. This average is derived from various sales ranging from $20.00 to $30.00.",MULTI,1972
