COA-NAME,Account Type,Active,Asset Accounts Database,Bank Accounts,COA-ACCOUNT ID,COA-CODE,COA-PARENT,COA-SUB,COA-SUBID,COA-SUB_EXT,Credit Accounts,Description,Entity,FULL ID,Status,Sub-category,TAX-FORM,TAX-Schedule_C_Line_Items
4083-Commercial Auto Insurance,,No,,,,4083,4080-Insurance (4080-Insurance%201f6300e974e240108a97dc42cece1f45.md),,,,,,,4083--,New,,Schedule C,Part II - Expenses (https://www.notion.so/Part-II-Expenses-cec13d4f824f41f6a55f88b693445708?pvs=21)
4900-Utilities,,No,,,,4900,4000-Expenses (4000-Expenses%20621b26e079224161942597601b58723d.md),"4901-Electricity (4901-Electricity%2022bb35f85b57486eaca13299677981c8.md), 4902-Water and Sewer (4902-Water%20and%20Sewer%20fdf12df377d74a72be302dce26215e63.md), 4903-Internet and Phone (4903-Internet%20and%20Phone%20e25e87aaa9f54daaa05457fca2a369d6.md), 4904-WAN Connection (4904-WAN%20Connection%20801a7fac58ba444faefefa38177c29f1.md), 4905-Phone Plan (4905-Phone%20Plan%2085cdaed980594f5a8041faca6258db0a.md)",,,,,,4900--,New,,Schedule C,Part II - Expenses (https://www.notion.so/Part-II-Expenses-cec13d4f824f41f6a55f88b693445708?pvs=21)
4805-Meals with Clients,,No,,,,4805,4800-Travel and Meals (4800-Travel%20and%20Meals%20fa918105de0f4f3bbb70dc6b376b8c4c.md),,,,,,,4805--,New,,Schedule C,Part II - Expenses (https://www.notion.so/Part-II-Expenses-cec13d4f824f41f6a55f88b693445708?pvs=21)
3102-360 Plans,,No,,,,3102,3100-Gross Receipts Income Rev Sales (3100-Gross%20Receipts%20Income%20Rev%20Sales%20243ddf8191744e03a3a9c9572d76e611.md),,,,,,,3102--,New,,Schedule C,Part I - Income-1. Gross receipts or sales (https://www.notion.so/Part-I-Income-1-Gross-receipts-or-sales-777bf489be1f4e7b81ce67acf3865127?pvs=21)
4070-Employee Benefits Programs,,Yes,,,,4070,4000-Expenses (4000-Expenses%20621b26e079224161942597601b58723d.md),"4071-Health Insurance (4071-Health%20Insurance%20e3a5e161b3894c559733fb0251b2992f.md), 4072-Retirement Plans (4072-Retirement%20Plans%204ef491104d4c4b1c9fd93f6fcf45a013.md), 4073-Other Employee Benefits (4073-Other%20Employee%20Benefits%200d3eed4ab2914ff989b13cf21d39f3cc.md), 4074-Tuition Assistance (4074-Tuition%20Assistance%2025a9b5d2608846579f71f93602f03143.md), 4075-Incentive Bonus (4075-Incentive%20Bonus%2063cb236b2fc3483cb6577959ab48b771.md), 4076-Other Appreciation (4076-Other%20Appreciation%20c8feb5fc8a31438aafb17a27fc8f8ca0.md)",,,,,,4070--,New,,Schedule C,Part II - Expenses (https://www.notion.so/Part-II-Expenses-cec13d4f824f41f6a55f88b693445708?pvs=21)
4501-Equipment Repairs,,No,,,,4501,4500-Repairs and Maintenance (4500-Repairs%20and%20Maintenance%20248072f4dd90444ba32e9aa0220ee87d.md),,,,,,,4501--,New,,Schedule C,Part II - Expenses (https://www.notion.so/Part-II-Expenses-cec13d4f824f41f6a55f88b693445708?pvs=21)
6300-Retained Earnings,,Yes,,,,6300,6000-Equity (6000-Equity%201fa90aa1da2a42dca3a9d9578a11cf79.md),,,,,,,6300--,New,,Schedule C,Part X - 3. Equity Account (https://www.notion.so/Part-X-3-Equity-Account-94ca4c07224a4bd18ffc3037799a0e8e?pvs=21)
4701-Business License,,No,,,,4701,4700-Taxes and Licenses (4700-Taxes%20and%20Licenses%20e3edd355858d441ebebf151adcce43b8.md),,,,,,,4701--,New,,Schedule C,Part II - Expenses (https://www.notion.so/Part-II-Expenses-cec13d4f824f41f6a55f88b693445708?pvs=21)
4302-Defined Contribution Plans,,No,,,,4302,4300-Pension and Profit Sharing Plans (4300-Pension%20and%20Profit%20Sharing%20Plans%20b218d217a3e4433f9bfb100ffa5fb38c.md),,,,,,,4302--,New,,Schedule C,Part II - Expenses (https://www.notion.so/Part-II-Expenses-cec13d4f824f41f6a55f88b693445708?pvs=21)
4060-Depreciation and Section 179,,Yes,,,,4060,4000-Expenses (4000-Expenses%20621b26e079224161942597601b58723d.md),"4061-Equipment (4061-Equipment%203af83bce16124a4da85662d4444dc0f0.md), 4062-Buildings (4062-Buildings%2092985e73d8a04b57be7005960e2f6cd4.md), 4063-Section 179 Deductions (4063-Section%20179%20Deductions%20af55e3ae882441978e964dfa65a62b35.md)",,,,,,4060--,New,,Schedule C,Part II - Expenses (https://www.notion.so/Part-II-Expenses-cec13d4f824f41f6a55f88b693445708?pvs=21)
1402-Employee Advance,,Yes,,,,1420,1400-Pre-Paid Expenses (1400-Pre-Paid%20Expenses%201b74f5647ba64b37a623ebb8b89854c7.md),,,,,,,1420--,New,,Schedule C,Part X - 1. Asset Account (https://www.notion.so/Part-X-1-Asset-Account-d80fcf0cb1af416694a837eb332e0e35?pvs=21)
