Question/Focus,Cards,Date,Related to Card List (1) (Reading Journal),Spread
Sample Journal Entry: How can I best showcase the new template?,Ace of Swords (Ace%20of%20Swords%2013ef84a0440281a4a4b6dd66b1e38e58.md),"March 17, 2024",# Ace of Swords - Reversed (#%20Ace%20of%20Swords%20-%20Reversed%2013ef84a0440281cf8617d5c75b6e0a35.md),General 1 Card Spread (General%201%20Card%20Spread%2013ef84a0440281b199e3ddbb5a55fa4d.md)
,,,,
Cody three card spread,"Two of Wands (Two%20of%20Wands%2013ef84a04402811d9730ceace1e42cee.md), Ten of Pentacles (Ten%20of%20Pentacles%2013ef84a0440281ef89f6d760895f9f31.md), IV the Emperor Reversed (IV%20the%20Emperor%20Reversed%20142f84a0440280f2a6bed3d9e4195d49.md), Eight of swords reversed (Eight%20of%20swords%20reversed%20142f84a044028065bc5ad549c44f207f.md)","November 18, 2024",,"Past, Present, Future Spread (Past,%20Present,%20Future%20Spread%2013ef84a0440281eeb9bdc4d17462d46e.md)"
Cody three card spread,"Ace of Pentacles Reversed (Ace%20of%20Pentacles%20Reversed%20146f84a04402801faa37ddbf0e3cbcc2.md), XX Judgement Reversed (XX%20Judgement%20Reversed%20146f84a04402801f959ff25ccc43ace6.md), XI Justice (XI%20Justice%2013ef84a0440281f28cd1dd295ca703e3.md)","November 22, 2024",,"Past, Present, Future Spread (Past,%20Present,%20Future%20Spread%2013ef84a0440281eeb9bdc4d17462d46e.md)"
"Reading @February 19, 2025 ","Eight of Pentacles (Eight%20of%20Pentacles%2013ef84a0440281d3b4eaf0b209926828.md), Ace of Swords Reversed (Ace%20of%20Swords%20Reversed%2019ff84a0440280bba349f435bf8886df.md), Two of Wands Reversed (Two%20of%20Wands%20Reversed%2019ff84a04402802bb40df2f8b7c6886c.md), Nine of Pentacles (Nine%20of%20Pentacles%2013ef84a044028147b884e11ed4582456.md), Six of Swords (Six%20of%20Swords%2013ef84a04402817ab269ffccef4bd308.md), The Chariot Reversed (The%20Chariot%20Reversed%2019ff84a0440280e1a04fcd51f08eec3b.md), Queen of Cups (Queen%20of%20Cups%2013ef84a04402815090d1ebf089a11ae4.md), Seven of Pentacles (Seven%20of%20Pentacles%2013ef84a0440281f88649fe5937aca06e.md), 0 The Fool (0%20The%20Fool%2013ef84a0440281959de7c97545ad86e3.md), Eight of Wands (Eight%20of%20Wands%2013ef84a04402817a9921c0c7a293be7f.md), Knight of Wands Reversed (Knight%20of%20Wands%20Reversed%2019ff84a044028083952de41af7dcb301.md), The Empress Reversed (The%20Empress%20Reversed%2019ff84a044028021b29bcd32d9a6e0fc.md), The Magician Reversed (The%20Magician%20Reversed%2019ff84a044028037b9f8f22c6cf67b3a.md)","February 19, 2025",,Zodiac Spread (Zodiac%20Spread%2019ff84a044028063965fd79b4f81ba9d.md)
Joel Reading,,"April 20, 2025",,Spread Template (Spread%20Template%201dcf84a04402809ab414c258250e1c43.md)
Tarot Pull,,,,
Tarot,,,,
Joel,,,,
Joel,,,,
Reading,,,,
Cody’s Reading,,"June 5, 2025",,
