"Tasks ",Assignee,Blockers,Category,Context Tasks Complete,Date,Key Date Milestone,Label,Number of Tasks,Number of Tasks Complete,Packing list,Room,Status,Sub-item,Task List,Timeline,📦 Inventory / Selling Your Stuff,🚚 Moving/Storage Options
Storage Unit Rented,Cody,,Book storage facility (Book%20storage%20facility%20221f84a0440281d98e82da039eff857c.md),0/0 Tasks Complete,"June 30, 2025",No,Task,0,0/0,,,Done,,Phase01_Pack Sell Clean,"June 30, 2025 → September 30, 2025",,
Throw a goodbye party 🎉,,,Phase 02_Sale (Phase%2002_Sale%20221f84a04402811b8913f074fb79e490.md),0/0 Tasks Complete,,No,Celebratory,0,0/0,,,Not started,,Phase02_Sale House,"July 31, 2025",,
Empty house of belongings,,,Phase 03_Move to Hotel (Phase%2003_Move%20to%20Hotel%20221f84a044028145a2fddc9cc9039119.md),0/0 Tasks Complete,,No,Task,0,0/0,,,Not started,,Phase03_Move Hotel/Moms,"July 31, 2025",,
Handover keys,,,Phase 02_Sale (Phase%2002_Sale%20221f84a04402811b8913f074fb79e490.md),0/0 Tasks Complete,,No,Task,0,0/0,,,Not started,,Phase02_Sale House,"August 1, 2025",,
Notify people about moving,,,Phase 02_Sale (Phase%2002_Sale%20221f84a04402811b8913f074fb79e490.md),0/0 Tasks Complete,,No,Miscellaneous,0,0/0,,,Not started,,Phase02_Sale House,"July 24, 2025",,
Notify utility companies of moving,,,Phase 02_Sale (Phase%2002_Sale%20221f84a04402811b8913f074fb79e490.md),0/0 Tasks Complete,,No,Task,0,0/0,,,Not started,,Phase02_Sale House,"July 31, 2025",,
Collect car for trip,,,Phase06_Arrival (Phase06_Arrival%2022cf84a04402805c9bc2c99d25a94339.md),0/0 Tasks Complete,"February 28, 2023",No,,0,0/0,,,Not started,,Phase06_Arrival,"September 4, 2025",,
Create packing list,,,Phase 01_Pack Sell Clean (Phase%2001_Pack%20Sell%20Clean%20221f84a0440281ccb7a9c7452467b292.md),0/0 Tasks Complete,"January 27, 2023",No,,0,0/0,,,Not started,,Phase01_Pack Sell Clean,"July 10, 2025",,
Add name to utilities,,,Phase07_Secure Apartment (Phase07_Secure%20Apartment%20221f84a044028145bc25cde32b0ab18c.md),0/0 Tasks Complete,,No,Task,0,0/0,,,Not started,,Phase07_Apartment,"September 1, 2025",,
Set up internet,,Modem installation,Phase07_Secure Apartment (Phase07_Secure%20Apartment%20221f84a044028145bc25cde32b0ab18c.md),0/0 Tasks Complete,,No,,0,0/0,,,Not started,,Phase07_Apartment,"September 1, 2025",,
Phase 04_Move to Moms,,,Phase04_Pre-Move (Phase04_Pre-Move%20221f84a04402815c825bc33c94da8e78.md),0/0 Tasks Complete,"January 28, 2023",No,,0,0/0,,,Not started,,Phase04_Pre-Move,"August 14, 2025",,
Buy new bed,,King bed out of stock,Phase07_Secure Apartment (Phase07_Secure%20Apartment%20221f84a044028145bc25cde32b0ab18c.md),0/0 Tasks Complete,,No,,0,0/0,,,Scheduled,,Phase07_Apartment,"September 2, 2025",,
Set up each space,,,Phase 02_Sale (Phase%2002_Sale%20221f84a04402811b8913f074fb79e490.md),0/0 Tasks Complete,,No,Task,0,0/0,,,Not started,,Phase02_Sale House,"July 24, 2025",,
Order Mattress and Bedding,,,Phase07_Secure Apartment (Phase07_Secure%20Apartment%20221f84a044028145bc25cde32b0ab18c.md),0/0 Tasks Complete,,No,,0,0/0,,Untitled (https://www.notion.so/221f84a04402810f9b07da1354bc0263?pvs=21),Not started,,Phase07_Apartment,"August 19, 2023",,
Pack up Kitchen,,,Phase 01_Pack Sell Clean (Phase%2001_Pack%20Sell%20Clean%20221f84a0440281ccb7a9c7452467b292.md),0/0 Tasks Complete,,No,,0,0/0,,,Done,,Phase01_Pack Sell Clean,"July 31, 2023",,
